Member_number,Date,Items
1034,13-05-2014,"['tropical fruit', 'newspapers']"
1034,24-02-2014,"['pip fruit', 'cling film/bags', 'yogurt', 'cat food']"
1034,28-04-2014,"['bottled water', 'domestic eggs', 'frozen meals']"
1035,08-09-2015,"['whole milk', 'newspapers']"
1035,15-08-2014,"['pip fruit', 'white wine', 'white bread', 'salt']"
1035,23-05-2015,"['sausage', 'frozen vegetables']"
1035,24-04-2015,"['whole milk', 'yogurt', 'yogurt', 'rolls/buns']"
1035,25-06-2014,"['whole milk', 'frozen vegetables']"
1036,20-01-2014,"['fruit/vegetable juice', 'vinegar']"
1037,06-06-2014,"['citrus fruit', 'shopping bags', 'chewing gum', 'cake bar']"
1037,16-12-2015,"['frankfurter', 'yogurt', 'canned beer']"
1037,24-02-2014,"['tropical fruit', 'white bread', 'rolls/buns']"
1038,02-04-2015,"['whole milk', 'pip fruit', 'whipped/sour cream']"
1038,10-04-2015,"['other vegetables', 'specialty chocolate']"
1038,14-12-2015,"['Instant food products', 'whipped/sour cream', 'butter', 'cake bar']"
1038,21-02-2015,"['sausage', 'pork', 'butter', 'whole milk', 'fruit/vegetable juice']"
1038,23-04-2015,"['pip fruit', 'herbs', 'frozen meals']"
1038,28-01-2014,"['margarine', 'napkins']"
1039,31-05-2015,"['salty snack', 'rolls/buns']"
1040,03-09-2014,"['whole milk', 'pasta', 'rolls/buns']"
1040,14-06-2014,"['yogurt', 'rolls/buns']"
1040,24-10-2014,"['root vegetables', 'white bread']"
1040,26-11-2015,"['tropical fruit', 'chicken', 'onions', 'packaged fruit/vegetables']"
1041,02-04-2015,"['hamburger meat', 'yogurt']"
1041,07-07-2014,"['prosecco', 'dessert']"
1041,13-06-2014,"['chicken', 'frozen vegetables', 'candy']"
1041,29-06-2014,"['tropical fruit', 'brown bread', 'whole milk']"
1042,12-02-2015,"['beef', 'dessert']"
1042,16-10-2015,"['whole milk', 'other vegetables']"
1042,22-05-2015,"['citrus fruit', 'bottled water']"
1043,10-01-2015,"['citrus fruit', 'rolls/buns', 'whole milk']"
1043,14-03-2014,"['tropical fruit', 'sliced cheese']"
1043,16-06-2014,"['napkins', 'whole milk', 'chocolate marshmallow']"
1044,09-02-2015,"['tropical fruit', 'other vegetables']"
1044,25-10-2015,"['root vegetables', 'curd']"
1045,10-04-2014,"['fruit/vegetable juice', 'specialty chocolate', 'Instant food products']"
1045,12-01-2014,"['root vegetables', 'yogurt', 'butter', 'yogurt']"
1045,25-11-2015,"['chicken', 'onions']"
1046,18-06-2015,"['whole milk', 'pastry']"
1046,24-06-2015,"['pork', 'bottled water']"
1047,04-01-2015,"['curd', 'soda']"
1047,09-08-2015,"['sweet spreads', 'butter']"
1047,17-12-2014,"['pip fruit', 'soda']"
1048,06-10-2015,"['rolls/buns', 'condensed milk', 'whole milk', 'soda']"
1048,18-10-2015,"['rolls/buns', 'tropical fruit']"
1049,01-07-2015,"['butter', 'whole milk']"
1049,04-08-2015,"['white bread', 'candy']"
1049,05-09-2015,"['frankfurter', 'herbs']"
1049,07-01-2014,"['specialty bar', 'margarine']"
1050,04-05-2015,"['meat', 'whole milk']"
1050,06-03-2014,"['house keeping products', 'yogurt']"
1050,10-10-2014,"['whipped/sour cream', 'hygiene articles']"
1050,12-10-2014,"['UHT-milk', 'other vegetables', 'dishes']"
1050,15-02-2014,"['waffles', 'beverages']"
1050,30-05-2014,"['pasta', 'yogurt', 'cat food']"
1051,10-11-2015,"['fish', 'tropical fruit', 'red/blush wine', 'cream cheese ']"
1051,12-08-2015,"['other vegetables', 'soda', 'rolls/buns', 'dishes']"
1051,12-10-2015,"['tropical fruit', 'other vegetables', 'hamburger meat', 'popcorn', 'female sanitary products']"
1051,13-01-2014,"['hamburger meat', 'bottled beer']"
1051,17-09-2014,"['pork', 'coffee', 'frozen vegetables']"
1051,26-12-2014,"['shopping bags', 'shopping bags']"
1052,04-01-2014,"['beef', 'shopping bags']"
1052,05-12-2014,"['soda', 'hamburger meat']"
1052,06-07-2015,"['butter milk', 'yogurt', 'yogurt', 'margarine']"
1052,13-10-2014,"['soda', 'whole milk']"
1052,15-01-2014,"['root vegetables', 'grapes']"
1052,15-05-2015,"['frankfurter', 'whipped/sour cream']"
1052,20-11-2014,"['bottled water', 'chewing gum']"
1052,24-03-2014,"['chicken', 'beverages', 'coffee']"
1052,27-10-2015,"['pork', 'other vegetables', 'yogurt', 'shopping bags', 'soft cheese', 'detergent']"
1052,29-09-2014,"['butter', 'dog food']"
1053,05-11-2014,"['chicken', 'frozen vegetables']"
1053,09-07-2015,"['hamburger meat', 'pastry']"
1053,10-12-2014,"['other vegetables', 'whole milk']"
1053,16-05-2014,"['waffles', 'rolls/buns']"
1053,23-05-2014,"['whole milk', 'sugar']"
1053,30-04-2014,"['soda', 'soda']"
1054,02-09-2015,"['bottled beer', 'oil']"
1054,04-10-2015,"['frankfurter', 'citrus fruit', 'margarine']"
1054,16-01-2014,"['soda', 'fruit/vegetable juice']"
1054,21-10-2015,"['photo/film', 'other vegetables']"
1055,05-08-2014,"['pork', 'white wine']"
1055,25-05-2015,"['bottled water', 'yogurt', 'newspapers', 'soda']"
1056,09-11-2015,"['whipped/sour cream', 'meat spreads']"
1056,13-09-2015,"['pip fruit', 'other vegetables']"
1056,24-09-2014,"['ham', 'whole milk']"
1057,05-03-2014,"['salty snack', 'pickled vegetables']"
1057,06-01-2014,"['soda', 'domestic eggs', 'sliced cheese', 'soda']"
1057,08-06-2014,"['tropical fruit', 'UHT-milk']"
1058,06-04-2015,"['sausage', 'bottled water']"
1058,07-08-2014,"['yogurt', 'root vegetables']"
1058,10-11-2015,"['root vegetables', 'other vegetables']"
1058,24-05-2014,"['chicken', 'other vegetables']"
1059,11-06-2014,"['dessert', 'spread cheese']"
1059,14-06-2014,"['sausage', 'salty snack', 'cling film/bags']"
1061,05-09-2015,"['whole milk', 'tropical fruit', 'root vegetables', 'Instant food products', 'margarine']"
1061,17-03-2014,"['soda', 'fruit/vegetable juice', 'bottled beer']"
1061,19-05-2014,"['beef', 'chocolate']"
1061,23-10-2014,"['beverages', 'dessert']"
1061,31-07-2014,"['whipped/sour cream', 'hard cheese']"
1062,07-11-2014,"['ham', 'whipped/sour cream', 'ketchup']"
1062,08-05-2014,"['white bread', 'frozen fruits']"
1062,16-04-2015,"['tropical fruit', 'whole milk', 'other vegetables', 'long life bakery product']"
1062,18-09-2015,"['other vegetables', 'yogurt', 'whole milk', 'butter', 'shopping bags']"
1062,26-01-2014,"['whole milk', 'sauces']"
1063,07-06-2014,"['whole milk', 'citrus fruit']"
1063,23-01-2015,"['rolls/buns', 'candy']"
1064,03-09-2014,"['root vegetables', 'whole milk']"
1064,21-04-2014,"['cream cheese ', 'rolls/buns']"
1064,25-07-2015,"['long life bakery product', 'root vegetables', 'other vegetables']"
1065,05-11-2014,"['tropical fruit', 'rolls/buns']"
1065,13-11-2015,"['frankfurter', 'tropical fruit']"
1065,14-01-2014,"['tropical fruit', 'whole milk', 'long life bakery product', 'rum']"
1065,23-01-2014,"['hamburger meat', 'soda']"
1065,25-12-2014,"['red/blush wine', 'frozen fish']"
1065,27-10-2015,"['beef', 'dessert']"
1066,01-02-2014,"['root vegetables', 'bottled beer']"
1066,12-06-2014,"['oil', 'shopping bags']"
1066,15-05-2014,"['whole milk', 'other vegetables']"
1067,05-03-2015,"['whole milk', 'tropical fruit']"
1067,08-04-2015,"['hamburger meat', 'pork']"
1067,20-07-2015,"['rolls/buns', 'tropical fruit', 'coffee', 'chocolate']"
1068,01-07-2015,"['pork', 'spread cheese']"
1068,08-03-2014,"['soda', 'yogurt']"
1069,18-12-2014,"['salt', 'domestic eggs']"
1069,20-01-2014,"['pork', 'rolls/buns']"
1069,20-05-2014,"['brown bread', 'fruit/vegetable juice']"
1069,20-08-2015,"['bottled beer', 'tropical fruit', 'sliced cheese', 'dishes']"
1070,05-11-2014,"['cream cheese ', 'newspapers']"
1070,10-04-2014,"['citrus fruit', 'red/blush wine']"
1071,26-09-2014,"['yogurt', 'roll products ', 'fruit/vegetable juice']"
1072,23-06-2014,"['ham', 'other vegetables']"
1072,23-10-2015,"['frankfurter', 'canned beer']"
1073,03-12-2015,"['finished products', 'brown bread', 'dishes']"
1073,05-06-2014,"['yogurt', 'bottled water', 'domestic eggs']"
1073,08-06-2015,"['pip fruit', 'curd', 'pip fruit', 'prosecco']"
1073,21-03-2014,"['brown bread', 'salt']"
1074,04-02-2014,"['semi-finished bread', 'ketchup']"
1074,08-05-2014,"['oil', 'shopping bags']"
1074,16-10-2015,"['fruit/vegetable juice', 'flower (seeds)']"
1074,24-06-2015,"['misc. beverages', 'instant coffee']"
1074,29-01-2014,"['detergent', 'candy']"
1075,19-06-2014,"['UHT-milk', 'canned fish']"
1075,19-11-2015,"['frankfurter', 'citrus fruit', 'bottled water', 'fruit/vegetable juice']"
1075,20-07-2015,"['frankfurter', 'frozen meals', 'dishes']"
1075,29-01-2015,"['pip fruit', 'rolls/buns']"
1076,12-06-2015,"['sausage', 'butter', 'bottled water']"
1076,14-05-2015,"['frankfurter', 'chicken', 'butter', 'bottled water']"
1076,14-10-2015,"['ham', 'whole milk', 'whole milk', 'coffee']"
1076,24-12-2014,"['sausage', 'brown bread']"
1077,07-10-2014,"['other vegetables', 'butter']"
1077,12-09-2015,"['tropical fruit', 'soda']"
1077,17-07-2014,"['pastry', 'pasta']"
1077,29-09-2014,"['white bread', 'brown bread']"
1077,30-08-2014,"['canned beer', 'rolls/buns', 'artif. sweetener', 'soda']"
1077,30-12-2014,"['rolls/buns', 'root vegetables']"
1078,28-08-2014,"['chicken', 'soda']"
1078,28-10-2015,"['frankfurter', 'curd', 'white bread', 'rolls/buns', 'coffee']"
1079,07-10-2014,"['red/blush wine', 'bottled water', 'sweet spreads']"
1079,09-09-2015,"['rolls/buns', 'onions', 'napkins']"
1080,02-11-2014,"['canned beer', 'soda']"
1080,14-05-2015,"['root vegetables', 'frozen vegetables', 'pet care']"
1081,03-05-2015,"['specialty bar', 'tropical fruit', 'yogurt', 'bottled beer', 'baking powder']"
1081,06-03-2015,"['other vegetables', 'frankfurter', 'newspapers', 'whole milk', 'pastry']"
1081,11-02-2014,"['beverages', 'yogurt']"
1081,21-01-2015,"['tropical fruit', 'whole milk']"
1081,25-04-2015,"['coffee', 'butter milk']"
1082,13-05-2014,"['beef', 'margarine', 'other vegetables']"
1082,20-03-2014,"['bottled water', 'hygiene articles']"
1083,06-02-2015,"['pork', 'sliced cheese']"
1083,15-07-2014,"['specialty chocolate', 'soda', 'bathroom cleaner']"
1083,15-11-2014,"['hamburger meat', 'whole milk']"
1084,18-04-2014,"['pip fruit', 'other vegetables']"
1085,15-08-2015,"['root vegetables', 'citrus fruit']"
1085,24-04-2014,"['other vegetables', 'shopping bags', 'soda']"
1085,25-05-2014,"['yogurt', 'newspapers']"
1086,10-12-2014,"['ice cream', 'whipped/sour cream']"
1086,17-11-2015,"['other vegetables', 'beef', 'soda', 'curd', 'butter']"
1086,26-09-2014,"['canned beer', 'herbs', 'margarine']"
1086,27-07-2014,"['rolls/buns', 'soda']"
1086,28-12-2015,"['rolls/buns', 'citrus fruit']"
1087,11-12-2014,"['coffee', 'berries']"
1087,13-10-2014,"['ham', 'white bread']"
1087,14-08-2015,"['herbs', 'pot plants', 'cake bar']"
1087,16-12-2014,"['soda', 'flower (seeds)', 'jam']"
1087,19-03-2015,"['sausage', 'pip fruit', 'chocolate']"
1087,19-06-2014,"['specialty chocolate', 'white bread']"
1087,20-04-2014,"['whole milk', 'whole milk']"
1087,25-07-2014,"['other vegetables', 'whole milk']"
1087,26-02-2014,"['sausage', 'beverages']"
1088,09-11-2015,"['whole milk', 'hard cheese']"
1088,14-01-2015,"['yogurt', 'berries']"
1088,30-11-2015,"['tropical fruit', 'meat', 'other vegetables', 'domestic eggs', 'baking powder']"
1089,05-12-2014,"['yogurt', 'sauces']"
1090,04-10-2015,"['beef', 'yogurt']"
1090,21-10-2015,"['ice cream', 'whole milk']"
1090,31-08-2015,"['sausage', 'whisky', 'specialty chocolate', 'dishes', 'yogurt', 'napkins', 'detergent', 'pastry']"
1092,03-07-2015,"['photo/film', 'shopping bags']"
1092,09-10-2015,"['frankfurter', 'other vegetables', 'bottled beer']"
1092,10-12-2014,"['yogurt', 'newspapers']"
1092,16-05-2015,"['root vegetables', 'soda', 'specialty bar', 'other vegetables', 'frozen vegetables']"
1092,27-07-2015,"['rolls/buns', 'grapes', 'bottled beer', 'sausage', 'salty snack', 'Instant food products', 'domestic eggs', 'bottled water']"
1093,28-03-2015,"['dessert', 'domestic eggs']"
1094,07-01-2015,"['sausage', 'tropical fruit', 'misc. beverages', 'root vegetables']"
1094,08-09-2015,"['sausage', 'whole milk']"
1094,11-03-2014,"['whole milk', 'brown bread']"
1094,11-12-2014,"['hamburger meat', 'detergent', 'flour']"
1094,16-05-2015,"['tropical fruit', 'soda']"
1094,18-08-2014,"['newspapers', 'salty snack']"
1094,24-07-2014,"['pasta', 'whole milk', 'waffles']"
1094,26-08-2014,"['chocolate marshmallow', 'other vegetables']"
1095,06-08-2014,"['pickled vegetables', 'flour']"
1095,25-03-2014,"['yogurt', 'shopping bags']"
1095,30-10-2015,"['packaged fruit/vegetables', 'bottled water', 'pork', 'domestic eggs']"
1096,28-07-2015,"['pip fruit', 'fruit/vegetable juice']"
1097,01-11-2015,"['tropical fruit', 'whole milk', 'soda', 'curd']"
1097,03-05-2014,"['shopping bags', 'root vegetables']"
1097,12-10-2014,"['whipped/sour cream', 'curd', 'shopping bags']"
1097,16-04-2014,"['sausage', 'whole milk', 'cake bar']"
1097,25-09-2015,"['frankfurter', 'whipped/sour cream', 'bottled water']"
1097,26-11-2014,"['hard cheese', 'whole milk']"
1098,05-08-2015,"['tropical fruit', 'citrus fruit', 'yogurt', 'frankfurter', 'specialty chocolate', 'hard cheese', 'whole milk', 'canned beer']"
1098,07-05-2015,"['canned beer', 'napkins', 'rolls/buns']"
1098,12-11-2015,"['grapes', 'other vegetables']"
1098,19-01-2015,"['rolls/buns', 'shopping bags', 'cat food']"
1098,19-07-2014,"['tropical fruit', 'candy']"
1098,25-02-2014,"['citrus fruit', 'dessert']"
1098,27-09-2015,"['root vegetables', 'frozen vegetables', 'bottled water', 'cat food']"
1099,13-08-2015,"['spread cheese', 'pork']"
1099,18-07-2014,"['pip fruit', 'brown bread']"
1099,29-08-2014,"['root vegetables', 'instant coffee']"
1100,12-03-2015,"['soda', 'hygiene articles', 'grapes', 'pudding powder', 'butter milk', 'butter']"
1100,18-12-2014,"['whole milk', 'yogurt']"
1100,20-02-2014,"['hamburger meat', 'pasta']"
1101,07-09-2014,"['whole milk', 'processed cheese']"
1101,25-12-2014,"['brown bread', 'sparkling wine']"
1101,28-12-2014,"['rolls/buns', 'other vegetables', 'whipped/sour cream']"
1102,13-04-2014,"['candy', 'white wine']"
1102,14-02-2014,"['root vegetables', 'frozen vegetables']"
1102,27-06-2015,"['other vegetables', 'white bread', 'detergent']"
1102,30-09-2014,"['yogurt', 'beverages', 'brown bread']"
1103,12-07-2014,"['ice cream', 'herbs']"
1103,22-11-2014,"['cream', 'yogurt']"
1103,25-05-2014,"['chicken', 'pastry', 'candles']"
1103,28-07-2014,"['waffles', 'hygiene articles', 'tea']"
1104,04-01-2015,"['yogurt', 'other vegetables', 'rolls/buns', 'herbs']"
1104,09-05-2014,"['yogurt', 'root vegetables']"
1104,18-03-2015,"['domestic eggs', 'yogurt']"
1104,27-10-2015,"['pork', 'whole milk']"
1105,14-06-2014,"['other vegetables', 'white bread']"
1105,22-05-2015,"['bottled water', 'yogurt', 'tropical fruit', 'whole milk']"
1107,01-10-2015,"['citrus fruit', 'misc. beverages']"
1107,03-01-2015,"['liver loaf', 'chicken', 'rolls/buns', 'spread cheese', 'shopping bags']"
1107,06-05-2015,"['citrus fruit', 'misc. beverages']"
1107,13-08-2014,"['whole milk', 'pastry']"
1107,14-06-2014,"['onions', 'newspapers']"
1107,15-05-2014,"['beef', 'specialty fat', 'newspapers']"
1107,22-07-2014,"['rolls/buns', 'semi-finished bread']"
1107,26-09-2014,"['shopping bags', 'rolls/buns']"
1108,22-05-2014,"['pastry', 'canned beer', 'whipped/sour cream', 'grapes']"
1108,22-08-2014,"['salty snack', 'pastry', 'oil']"
1108,25-06-2014,"['frozen potato products', 'specialty cheese']"
1108,30-07-2015,"['brown bread', 'whole milk', 'shopping bags']"
1109,06-04-2015,"['citrus fruit', 'frozen vegetables', 'margarine']"
1109,14-10-2014,"['curd', 'sugar']"
1109,19-06-2014,"['chocolate', 'whole milk']"
1109,22-11-2014,"['pip fruit', 'salty snack', 'pastry']"
1109,31-10-2014,"['pip fruit', 'margarine']"
1110,09-09-2015,"['ham', 'yogurt']"
1110,11-12-2014,"['soda', 'salty snack']"
1110,13-10-2014,"['bottled water', 'chocolate']"
1110,15-11-2015,"['pastry', 'baking powder', 'butter', 'margarine', 'curd', 'dishes']"
1110,20-11-2015,"['whole milk', 'soda']"
1110,22-09-2014,"['pickled vegetables', 'liquor']"
1110,30-05-2014,"['margarine', 'yogurt']"
1111,03-03-2014,"['whole milk', 'frozen vegetables', 'soda', 'UHT-milk']"
1111,07-05-2014,"['other vegetables', 'whipped/sour cream']"
1111,20-11-2015,"['beef', 'semi-finished bread']"
1111,24-10-2014,"['bottled water', 'flour', 'sugar']"
1112,09-04-2015,"['dish cleaner', 'ice cream', 'jam', 'newspapers']"
1113,02-02-2014,"['curd', 'canned beer']"
1113,05-08-2015,"['bottled beer', 'specialty bar', 'baking powder']"
1113,07-01-2014,"['whole milk', 'yogurt', 'newspapers']"
1113,29-03-2015,"['pork', 'pudding powder', 'domestic eggs']"
1114,04-09-2014,"['root vegetables', 'shopping bags']"
1114,10-07-2015,"['misc. beverages', 'UHT-milk', 'white bread']"
1114,12-03-2015,"['dog food', 'sausage', 'dessert', 'shopping bags']"
1114,14-12-2014,"['root vegetables', 'citrus fruit']"
1114,25-04-2014,"['chocolate', 'brown bread', 'salty snack']"
1114,26-04-2015,"['chicken', 'shopping bags']"
1115,03-08-2014,"['other vegetables', 'butter']"
1115,15-09-2014,"['whipped/sour cream', 'yogurt']"
1115,22-01-2015,"['other vegetables', 'yogurt']"
1115,31-07-2014,"['turkey', 'root vegetables']"
1116,06-03-2014,"['other vegetables', 'napkins']"
1116,08-10-2015,"['newspapers', 'white bread', 'rolls/buns', 'beverages']"
1116,11-08-2014,"['other vegetables', 'zwieback']"
1116,22-06-2014,"['brown bread', 'butter milk', 'canned vegetables', 'soda']"
1116,23-07-2015,"['chicken', 'bottled water']"
1116,27-09-2014,"['brown bread', 'soda']"
1116,29-01-2015,"['other vegetables', 'cream cheese ', 'liquor', 'root vegetables', 'newspapers', 'hard cheese']"
1116,29-11-2015,"['frankfurter', 'rolls/buns']"
1117,24-05-2015,"['meat', 'whole milk', 'whipped/sour cream']"
1118,02-03-2014,"['bottled beer', 'frozen vegetables', 'sliced cheese']"
1118,07-11-2014,"['pip fruit', 'processed cheese', 'canned beer']"
1118,09-12-2014,"['berries', 'condensed milk']"
1118,13-05-2015,"['house keeping products', 'rolls/buns', 'pickled vegetables', 'curd']"
1118,25-12-2015,"['whole milk', 'hair spray', 'butter', 'pastry']"
1118,27-07-2015,"['ham', 'yogurt']"
1119,04-02-2015,"['grapes', 'whole milk']"
1120,08-06-2015,"['meat', 'other vegetables']"
1120,11-06-2015,"['other vegetables', 'specialty bar']"
1120,14-01-2015,"['soda', 'UHT-milk', 'newspapers', 'white bread']"
1120,14-07-2015,"['citrus fruit', 'brown bread']"
1120,21-08-2014,"['tropical fruit', 'sugar']"
1120,26-09-2015,"['pastry', 'condensed milk', 'rice', 'tropical fruit', 'chocolate marshmallow']"
